Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),Strength
-0.8286347957137346,-0.8552919719099911,0.7620327049206262,-0.7654463823487592,0.22420131784658004,0.4155500434184816,1.6768310011777563,-0.2929804242517981,25.72434956
0.37484308780936915,-0.8552919719099911,-0.8169023659108675,0.1037784672594783,-1.0137640631992397,1.136985063141041,0.14192227195037968,-0.6338453853395862,17.54026944
0.3175873873962075,1.5689440060749036,-0.8169023659108675,-1.2345818833342723,1.3529344593883568,-1.5511888884400138,1.3583592957644275,-0.6987720445944031,25.2003478
0.688825961042837,-0.6385367550548711,1.3978792197162775,-1.3149780881402566,0.7918779564812273,-0.405305350046762,0.36672582871272946,-0.6987720445944031,23.639177145812038
-1.1304277456334326,1.3122601966412089,1.5078329154566323,-0.13268095864047755,2.1308004073716926,-1.7309103332825597,-0.3826193604951031,-0.2929804242517981,33.75674496
-1.379767086142363,-0.8552919719099911,1.7905709902175444,-0.08538907346048637,0.6412698686801984,-0.16312751657099125,0.41668217465991825,-0.2929804242517981,13.29309728
-0.5054171320910471,-0.8552919719099911,1.0391160181863202,0.6348663378307786,0.000771737042855806,0.6921426216513347,-0.17492585221966556,-0.6987720445944031,13.35515012
-0.32607750273240177,-0.8552919719099911,0.7342301275691365,-1.1206084400504923,1.1046793696064412,0.17796084257698885,1.4658903304157516,0.8756994423349042,51.0556978
-0.5027390428781735,-0.8552919719099911,1.0414721688093278,0.6462163902739769,-0.24748335273905991,0.7087126839417844,-0.16293632919233977,-0.2929804242517981,24.483292759999998
0.7534694937673745,1.2780356887167164,-0.8169023659108675,0.4348216635194165,0.14475968911636694,-1.909357157948917,-0.18279397670634773,-0.2929804242517981,65.90701084
0.04239063379746204,-0.8552919719099911,-0.8169023659108675,0.48211354869940765,-1.0137640631992397,-0.7723959607889823,1.5444466844177056,-0.2929804242517981,25.573354316
0.6518867994859584,-0.6385367550548711,0.7067417036340479,-1.7406050547601772,1.1592954893584626,-0.08665030599969524,1.240961882788534,-0.2929804242517981,44.02993736
-1.0754807428175759,-0.3752362074224411,1.7564853445380346,-2.840141385194972,-0.06708465416420117,1.0821763955649462,0.10582881200353593,0.16150619053191942,32.8535314
-1.2320104399148486,-0.8552919719099911,2.089016735798507,-0.7001835808003716,1.6342902278078613,1.2771932825217505,-1.1694318091633271,-0.2929804242517981,13.45857152
0.23632123197107452,-0.8552919719099911,-0.8169023659108675,0.48211354869940765,-1.0137640631992397,-0.04841170071404724,0.9786910665657926,5.095932293897996,38.11423328
2.1940967944856387,-0.8552919719099911,-0.8169023659108675,-1.693313169580186,-1.0137640631992397,-0.9916306310933648,1.5531890449584642,-0.2929804242517981,74.98740975999999
0.7220712064440279,1.3008520273330446,-0.8169023659108675,-0.7994965396783528,0.9060752977809085,-0.3708906052896782,-0.19778088049050493,0.7296144590115663,79.29663476
-1.2587913320435857,-0.8552919719099911,2.0434644904203605,-0.019180434208498465,1.4687868346199173,-1.7194387516968654,1.4070667330629363,-0.2929804242517981,15.526310044
-1.1027233744657736,0.61065778418911,1.2580809494178264,-0.31901098624964264,0.32350335375934625,0.40790232236135177,-0.31268047616903843,-0.2929804242517981,46.38794528
-1.226469565681317,-0.8552919719099911,0.940785998852803,0.12269522133147504,0.2937127429855164,0.23200473804737148,0.5528132173660075,-0.2929804242517981,12.180972492
-0.7610361300646469,-0.7298021095201848,1.3978792197162775,1.144199941219284,-0.7290982269159764,-0.405305350046762,0.36672582871272946,-0.6987720445944031,9.84965714581204
-0.654836040588621,-0.8552919719099911,1.920002197774762,-1.2861300381804615,0.9160055013721852,1.0006007042888958,0.04800434156966491,-0.5202237316436569,33.70158688
-0.7610361300646469,-0.7298021095201848,1.3978792197162775,1.144199941219284,-0.7290982269159764,-0.405305350046762,0.36672582871272946,0.16150619053191942,23.24519085418796
